,grand_mean,total_sd,between_sd,within_sd
co2,111.47662698412698,163.08305849014405,164.8858891181805,18.607057411833907
co2_per_capita,6.8951957671957675,2.945538435966151,2.7550462563528537,1.160883539331516
coal_co2,32.89406349206349,64.57392306074368,64.21874923964778,13.709570700360288
gas_co2,27.797965608465606,42.54923137254114,43.11095968213679,3.996291252252595
oil_co2,45.95900793650794,64.73842359112244,65.61933364114857,5.800495378993103
gdp,577749434801.3932,864404235958.451,877809520913.6576,55353139226.16653
renewable_capacity_mw,,,,
net_imports_gwh,5839.011492063491,10098.92700005482,9910.028628855709,2676.9693500231497
elec_price_eur_kwh,0.18752552910052908,0.063765307334636,0.05449007958571143,0.034629911584289866
elec_gen_clean_twh,61.49283068783069,106.76328992955087,108.18395960399926,9.910055819575447
elec_gen_fossil_twh,44.45650793650794,72.35348686492725,72.56571098208094,12.281016040334288
elec_gen_hydro_twh,12.409947089947092,18.90072451693579,19.017074753473427,2.8388227870401255
elec_gen_nuclear_twh,28.06452380952381,76.43672637133805,77.09690001800452,10.17862063994273
elec_gen_renewables_twh,33.42830687830688,48.25546498142994,47.50120235161241,12.248728042168468
elec_gen_solar_twh,4.329126984126984,9.610535417603433,8.809078146087865,4.175929883761062
elec_gen_wind_twh,11.100563002680966,20.75426595491484,19.479982267886818,7.814304119074323
elec_gen_total_twh,,,,
carbon_price_eur_tonne,24.945714285714285,26.84388119686224,0.0,26.84388119686224
